price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,state,city,locality,latitude,longitude
5502251,2293,3,1,1,no,yes,no,yes,yes,2,yes,unfurnished,Kerala,Trivandrum,Kazhakootam,8.524,76.9623
11677604,3784,4,1,3,yes,no,no,no,yes,0,yes,semi-furnished,Haryana,Faridabad,NIT,28.4469,77.3491
2303151,2083,3,3,2,yes,no,no,no,yes,2,yes,semi-furnished,Odisha,Cuttack,Buxi Bazaar,20.4274,85.859
1941992,852,2,1,3,yes,no,no,no,no,2,no,unfurnished,Tamil Nadu,Chennai,T Nagar,13.131,80.2511
17471677,2220,3,3,2,yes,no,no,no,yes,1,no,furnished,Haryana,Gurugram,New Gurugram,28.4195,77.0125
3006449,1208,2,2,1,no,yes,yes,yes,yes,2,no,furnished,West Bengal,Kolkata,Behala,22.5337,88.4024
4500579,1490,2,2,2,yes,yes,no,yes,no,0,yes,semi-furnished,Delhi,New Delhi,Greater Kailash,28.5678,77.1917
4021738,2308,3,1,3,no,no,yes,yes,yes,2,yes,unfurnished,Tamil Nadu,Madurai,Anna Nagar,9.958,78.1151
2847534,1480,3,2,2,yes,no,no,yes,yes,3,no,semi-furnished,Haryana,Faridabad,Sector 15,28.4269,77.2966
10631055,2835,4,2,3,yes,no,no,no,yes,1,no,semi-furnished,Rajasthan,Jaipur,Raja Park,26.9331,75.8328
7057459,1127,2,2,1,yes,no,no,no,yes,3,no,semi-furnished,Delhi,New Delhi,Janakpuri,28.5908,77.1646
4822738,1686,3,2,3,no,yes,no,yes,no,2,no,furnished,Uttar Pradesh,Noida,Sector 137,28.5297,77.4301
2374072,1216,3,2,2,yes,yes,no,yes,yes,2,yes,furnished,Odisha,Bhubaneswar,Chandrasekharpur,20.2775,85.8356
5555369,1927,3,2,1,yes,no,no,yes,no,1,no,semi-furnished,Assam,Dibrugarh,Chowkidingee,27.5056,94.9297
2084587,1451,2,2,4,yes,no,no,no,yes,1,no,unfurnished,Haryana,Faridabad,NIT,28.4081,77.2789
13317353,3536,4,2,2,yes,yes,no,yes,no,3,yes,furnished,Tamil Nadu,Chennai,OMR,13.1298,80.3117
